exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size,batch-size-10pctile-trunc,batch-size-90pctile-trunc,batch-size-avg-trunc,client-slack-1pctile-raw,client-slack-1pctile-trunc,client-slack-avg-raw,client-slack-avg-trunc,client-slack-stdev-raw,client-slack-stdev-trunc,commit-rate-raw,commit-rate-trunc,cpu-system,cpu-total,duration-raw,duration-trunc,epochs-avg,epochs-max,epochs-min,latency-95pctile-raw,latency-95pctile-raw-nowm,latency-95pctile-shortened-raw,latency-95pctile-trunc,latency-95pctile-trunc-nowm,latency-avg-raw,latency-avg-raw-nowm,latency-avg-shortened-raw,latency-avg-trunc,latency-avg-trunc-nowm,latency-stdev-raw,latency-stdev-raw-nowm,latency-stdev-trunc,latency-stdev-trunc-nowm,msg-batch-avg-trunc,nreq-raw,nreq-trunc,propose-rate-raw,propose-rate-trunc,throughput-raw,throughput-trunc,viewchanges-avg,viewchanges-total
0000,4,1,0,EpochStart,60000,1,unlimited,4,MultiPaxosMulticast,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,0,65,38.84375,-958135,-958135,-22028.072727272727,-38053.72874493927,143760.7660392884,177598.5943650751,23.21299876772869,23.531901423591446,6.113333333333333,23.653333333333332,30.090845,18.055321,0.0,0,0,2037.202,2036.295,2037.202,2599.435,2599.116,1120.0565844155844,1119.7408311688312,1120.0565844155844,1181.829342629482,1181.5267689243028,692.1103878141921,692.0866820460731,736.9158104475123,736.9146422044461,None,385,251,3.517902429568955,3.5460617631983173,127.94589184850076,139.01719055562623,0.0,0
0001,4,1,0,EpochStart,60000,1,unlimited,4,MultiPaxosMulticast,1,1,1,64,Simple,256,4096,1000,32,1,64,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,0,129,74.46376811594203,-5678,-2997,2626.22366710013,2632.45325203252,1500.7433876359034,1460.173793414725,25.503123635831294,26.692141116717565,7.544871794871795,28.455128205128204,30.211479,18.150508,0.0,0,0,1998.647,1998.355,1998.647,2004.794,2003.887,1104.966565669701,1104.574,1104.966565669701,1110.1753450292397,1109.7884814814815,581.497124989345,581.327049250969,579.9560442298317,579.80032437339,None,769,513,3.583578371564916,3.8090445376120794,254.53901147970942,282.6367173855409,0.0,0
0002,4,1,0,EpochStart,60000,1,unlimited,4,MultiPaxosMulticast,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,128,128,false,7680,4194304,external,32,8192,256,257,256.6,5110,5747,6700.0311688311685,6703.9797570850205,544.2001575945876,398.9772030224885,6.383455572628713,6.642045342586735,4.346153846153846,15.993589743589743,30.117869,18.111152,0.0,0,0,1969.315,1968.992,1969.315,1982.91,1982.685,1062.0561922077923,1061.7343220779221,1062.0561922077923,1062.4531478599222,1062.1364630350195,578.2117239197729,578.1587773552134,579.1823897445809,579.1295416524846,None,385,257,0.5321549117582388,0.5542357969594846,127.83108924472711,141.90152012417542,0.0,0
0003,4,1,0,EpochStart,60000,1,unlimited,4,MultiPaxosMulticast,1,1,1,256,Single,256,4096,1000,32,1,16,16,true,false,131072000,256,256,false,15360,4194304,external,32,8192,513,514,513.7,1009,1751,2855.2717815344604,2851.8823529411766,514.9536085972876,454.19417424671536,6.374612680027611,6.637386940410203,5.211538461538462,18.91025641025641,30.191847,18.176917,0.0,0,0,1999.563,1997.949,1999.563,2007.244,2006.813,1098.7532730819246,1098.4003302990898,1098.7532730819246,1100.168258754864,1099.8121536964982,578.8902392420625,578.7786762897623,578.5702024976001,578.4534391725942,None,769,514,0.531553250090987,0.5536953851482951,254.7045233767911,282.7762265735163,0.0,0
