0, 100
502, 100
1003, 48
1504, 5
2006, 6
2507, 6
3009, 20
3510, 21
4011, 14
4512, 10
5014, 15
5514, 13
6016, 16
6518, 15
7018, 15
7520, 10
8021, 16
8522, 10
9023, 16
9524, 10
10025, 16
10526, 9
11027, 15
11528, 9
12029, 15
12530, 10
13032, 15
13533, 10
14034, 15
14536, 8
15037, 16
15538, 10
16040, 16
16541, 9
17042, 16
17543, 9
18044, 16
18545, 9
19045, 15
19546, 10
20048, 16
20549, 9
21050, 16
21551, 10
22052, 17
22554, 10
23055, 16
23556, 9
24058, 17
24559, 9
25060, 15
25562, 11
26063, 16
26564, 9
27065, 16
27566, 9
28067, 17
28568, 9
29070, 15
29571, 10
30073, 17
30574, 10
31076, 16
31577, 10
32078, 16
32579, 9
33080, 17
33581, 4
34083, 8
34584, 5
35085, 5
