0, 1
1, 1
3, 1
4, 1
5, 1
1007, 1
1010, 1
1012, 1
1013, 1
1027, 2
1029, 1
1030, 1
1031, 2
2008, 1
2010, 1
2011, 2
2013, 1
2014, 1
2017, 1
2033, 2
2036, 3
2038, 2
3019, 2
3023, 2
3025, 2
3047, 2
3050, 2
3051, 2
4016, 2
4024, 2
4026, 2
4028, 1
4051, 2
4053, 2
4055, 2
5018, 1
5019, 1
5023, 2
5029, 1
5030, 1
5056, 1
5058, 2
5059, 1
5060, 1
5061, 1
5062, 1
6023, 2
6026, 1
6027, 1
6029, 2
6054, 2
6056, 2
6058, 2
7024, 1
7027, 2
7028, 1
7032, 1
7033, 1
7036, 1
7062, 2
7064, 2
7065, 1
7066, 1
7067, 1
8027, 1
8028, 1
8032, 2
8038, 2
8062, 2
8064, 2
8066, 1
8067, 1
9029, 2
9032, 1
9033, 1
9034, 1
9036, 2
9061, 2
9064, 2
9066, 1
9067, 1
10040, 2
10043, 1
10044, 1
10048, 1
10049, 1
10067, 1
10069, 3
10073, 2
10074, 1
11034, 2
11037, 2
11039, 2
11070, 2
11072, 2
11073, 1
11074, 1
12033, 1
12036, 2
12037, 1
12042, 2
12046, 1
12069, 2
12071, 2
12072, 1
12074, 2
13039, 2
13043, 2
13046, 1
13047, 1
13075, 2
13076, 1
13077, 1
13078, 2
14041, 2
14044, 1
14045, 2
14048, 2
14080, 1
14081, 1
14082, 1
14083, 2
14084, 2
15041, 2
15046, 2
15051, 2
15078, 1
15080, 2
15082, 2
15083, 1
16040, 2
16045, 2
16047, 1
16048, 1
16079, 2
16082, 2
16084, 2
17044, 1
17047, 3
17050, 2
17053, 1
17080, 1
17081, 1
17083, 3
17085, 2
18045, 2
18047, 1
18048, 1
18050, 2
18086, 2
18088, 2
18089, 2
19046, 1
19047, 1
19051, 3
19054, 2
19089, 2
19090, 1
19091, 2
19092, 1
19093, 1
20055, 2
20059, 1
20060, 1
20063, 1
20064, 1
20094, 1
20096, 2
20099, 2
20101, 1
21063, 2
21065, 1
21069, 2
21071, 2
21099, 2
21101, 2
21103, 2
22055, 1
22057, 2
22061, 2
22064, 1
22094, 1
22095, 1
22096, 2
22097, 1
22099, 2
23060, 1
23061, 1
23064, 2
23069, 1
23070, 1
23106, 1
23107, 1
23108, 1
23109, 1
23110, 2
24058, 1
24059, 1
24060, 2
24061, 1
24063, 2
24101, 1
24102, 1
24103, 2
24104, 1
24106, 2
25066, 2
25070, 2
25073, 2
25110, 1
25111, 2
25113, 1
25114, 1
25115, 1
26066, 2
26069, 2
26070, 1
26072, 1
26073, 1
26106, 2
26108, 3
26109, 1
26110, 1
27067, 1
27069, 2
27073, 2
27076, 1
27112, 2
27113, 2
27115, 2
28067, 2
28070, 2
28073, 2
28107, 2
28109, 2
28111, 2
29069, 2
29071, 3
29073, 2
29111, 2
29113, 3
29115, 2
30067, 1
30068, 1
30070, 2
30071, 2
30109, 2
31061, 1
31062, 1
