0, 1
994, 2
995, 1
997, 1
2013, 1
2018, 1
2020, 1
2021, 1
3010, 1
3012, 1
3015, 2
4016, 1
4018, 1
4020, 1
4021, 1
5016, 1
5020, 2
5023, 1
6023, 2
6025, 1
6026, 1
7024, 1
7027, 1
7029, 2
8029, 1
8033, 2
8035, 1
9032, 1
9035, 1
9037, 2
10035, 1
10039, 1
10040, 1
10042, 1
11040, 1
11042, 1
11043, 1
11044, 1
12043, 1
12047, 1
12048, 1
12049, 1
13047, 1
13050, 1
13051, 1
13053, 1
14050, 1
14053, 1
14055, 1
14056, 1
15055, 1
15056, 1
15059, 1
15060, 1
16058, 1
16063, 1
16064, 1
16065, 1
17061, 1
17065, 1
17066, 1
17068, 1
18066, 1
18069, 1
18070, 1
19070, 1
19071, 1
19074, 1
20074, 1
20076, 1
20078, 1
21078, 3
22081, 1
22082, 2
23084, 1
23085, 1
23089, 1
24086, 1
24090, 2
25093, 2
25096, 1
26099, 1
26100, 2
27098, 2
27100, 1
28101, 1
28105, 1
28106, 1
29106, 1
29108, 2
30111, 2
30113, 1
31113, 1
31117, 1
31118, 1
32109, 2
32110, 1
33107, 2
33109, 1
34108, 1
34109, 1
34110, 1
